Adjetivo,Frequência,Categoria
insaciável,3,Emoção
faladeira,3,Caráter
bruxinha,3,Papel social
metida,3,Caráter
piranha,3,Sexual
misteriosa,3,Emoção
substituta,3,Emoção
perversa,3,Caráter
boladona,3,Emoção
obrigada,3,Emoção
esquecida,3,Neutro
camponesa,3,Papel social
amazonense,3,Papel social
sapatão,3,Sexual
felizes,3,Emoção
burguesinha,3,Caráter
brincalhona,3,Emoção
briguenta,3,Emoção
machista,3,Caráter
majestade,2,Papel social
loirinha,2,Aparência
motorista,2,Papel social
chateada,2,Emoção
imponente,2,Aparência
delegada,2,Papel social
malucona,2,Caráter
empolgada,2,Emoção
preguiçosa,2,Emoção
namorista,2,Emoção
bunduda,2,Aparência
veterana,2,Papel social
lavadeira,2,Papel social
certa,2,Neutro
vaca,2,Neutro
diva,2,Aparência
luxuosa,2,Aparência
generosa,2,Caráter
esnobe,2,Caráter
enfermeira,2,Papel social
suicida,2,Emoção
sóbria,2,Caráter
gêmeas,2,Neutro
graciosa,2,Aparência
patroa,2,Papel social
tranzeira,2,Sexual
dedicada,2,Caráter
imperfeita,2,Emoção
digna,2,Caráter
justa,2,Caráter
descuidada,2,Caráter
ambiciosa,2,Caráter
sorridente,2,Emoção
molhadinha,2,Sexual
invejosa,2,Caráter
vacilona,2,Caráter
maioral,2,Neutro
certeira,2,Caráter
enrolada,2,Emoção
cínica,2,Caráter
lacradora,2,Caráter
chapadona,2,Caráter
sofisticada,2,Aparência
pressente,2,Emoção
barata,2,Neutro
iguaizinhas,2,Neutro
chocada,2,Emoção
avó,2,Papel social
sirigaita,2,Sexual
charme,2,Emoção
fada,2,Neutro
sofredora,2,Emoção
caipira,2,Papel social
romântica,2,Caráter
idealista,2,Caráter
mulata,2,Aparência
bisa,2,Papel social
dançarina,2,Papel social
putinha,2,Sexual
careta,2,Caráter
corajosa,2,Caráter
ninfeta,2,Sexual
putaria,2,Sexual
diferentona,2,Caráter
fútil,2,Caráter
neurótica,2,Emoção
impressionada,2,Emoção
conhecida,2,Caráter
gigante,2,Aparência
sedenta,2,Emoção
engraçadinha,2,Emoção
boçal,2,Caráter
envolvida,2,Emoção
chic,2,Aparência
magnética,2,Emoção
arrochadinha,2,Aparência
protetora,2,Caráter
fechada,2,Caráter
ciente,2,Caráter
vestida,2,Aparência
serena,2,Caráter
ruaceira,2,Caráter
útil,2,Emoção
mainha,2,Papel social
deslumbrante,2,Aparência
rodada,2,Sexual
jeitosa,2,Aparência
manequim,2,Aparência
beijoqueira,2,Caráter
treme-treme,2,Neutro
treinada,2,Aparência
divertida,2,Caráter
virtuosas,2,Caráter
batalhadora,2,Caráter
ingênua,2,Caráter
mentirosa,2,Caráter
fabulosa,2,Emoção
liberada,2,Neutro
explosiva,2,Caráter
exuberante,2,Aparência
juventude,2,Aparência
montada,2,Aparência
multicolor,2,Neutro
abusiva,2,Caráter
estudante,2,Papel social
honesta,2,Caráter
admirada,2,Emoção
anarquista,2,Caráter
cinéfila,2,Papel social
enfezada,2,Emoção
caolha,2,Aparência
fashion,2,Aparência
fantasiada,2,Aparência
pistoleira,2,Caráter
cachaceira,2,Caráter
vagaba,2,Sexual
atoa,2,Caráter
populosa,2,Caráter
exigente,2,Caráter
convidada,2,Papel social
assassina,2,Caráter
otária,2,Caráter
estrangeira,2,Papel social
espanto,2,Emoção
tristonha,2,Emoção
ruiva,2,Aparência
errante,2,Caráter
desesperada,2,Emoção
assadinha,2,Aparência
caçadora,2,Papel social
maluquinha,2,Caráter
bondade,2,Emoção
irresistível,2,Emoção
amorosa,2,Emoção
volúvel,2,Caráter
iluminada,2,Emoção
silicone,2,Aparência
condessa,2,Papel social
campeã,2,Papel social
dispersa,2,Emoção
amarga,2,Emoção
fofa,2,Emoção
arrumadinha,2,Aparência
japonesa,2,Papel social
audaz,2,Emoção
ativa,2,Neutro
deliciosa,2,Aparência
educada,2,Caráter
divinal,2,Neutro
inferior,2,Emoção
compreendida,2,Emoção
sedução,2,Emoção
sarada,2,Aparência
encrenqueira,2,Caráter
possessiva,2,Emoção
baranga,2,Aparência
franca,2,Caráter
mal-amada,2,Emoção
barriguda,2,Aparência
miss,2,Papel social
tensa,2,Emoção
ferrada,2,Emoção
depressiva,2,Emoção
correta,1,Caráter
lunática,1,Emoção
curvas,1,Aparência
súbita,1,Emoção
emotiva,1,Emoção
brusca,1,Caráter
broxante,1,Sexual
gamadinha,1,Emoção
geme,1,Sexual
árdua,1,Emoção
horrível,1,Caráter
enloquece,1,Emoção
zoeira,1,Emoção
desvalorizada,1,Emoção
deturpada,1,Caráter
antipática,1,Caráter
virtude,1,Caráter
fértil,1,Aparência
gaúcha,1,Papel social
governanta,1,Papel social
sossegada,1,Emoção
glamurosa,1,Aparência
dura,1,Caráter
caguetagem,1,Emoção
eufórica,1,Emoção
monstra,1,Emoção
impunidade,1,Emoção
solitaria,1,Papel social
presidiaria,1,Papel social
espantada,1,Emoção
humilhada,1,Emoção
egoísta,1,Caráter
sensualidade,1,Caráter
diarista,1,Papel social
excitadinha,1,Sexual
desejo,1,Emoção
rameira,1,Sexual
loucaça,1,Emoção
estuprada,1,Sexual
injuriada,1,Emoção
glamourosa,1,Aparência
incentivadora,1,Caráter
lutadora,1,Caráter
rosada,1,Aparência
positiva,1,Emoção
super-bacana,1,Caráter
calmaria,1,Emoção
habilidosa,1,Caráter
socialite,1,Papel social
vingativa,1,Caráter
frenética,1,Emoção
tradicional,1,Caráter
coxão,1,Aparência
sertãs,1,Papel social
delicinha,1,Aparência
incomparável,1,Caráter
perfeitinha,1,Aparência
contaminada,1,Aparência
mulher-homem,1,Sexual
travesti,1,Sexual
empinadinha,1,Aparência
canditada,1,Papel social
clássica,1,Aparência
sambadeira,1,Neutro
viciante,1,Emoção
aeromoça,1,Papel social
enxuta,1,Aparência
calminha,1,Emoção
enciumada,1,Emoção
chorona,1,Emoção
gandaia,1,Neutro
bebê,1,Papel social
purpurina,1,Neutro
foliona,1,Emoção
valentona,1,Caráter
saborosa,1,Neutro
assustada,1,Emoção
inveja,1,Emoção
meiguinha,1,Emoção
magistrada,1,Papel social
consciente,1,Caráter
maliciosa,1,Caráter
dominadora,1,Caráter
afoita,1,Emoção
incontrolável,1,Caráter
acelerada,1,Emoção
graduada,1,Papel social
incomparavel,1,Emoção
enlouquecida,1,Emoção
zarôia,1,Aparência
desquitada,1,Papel social
confiança,1,Emoção
conselheira,1,Papel social
arrumadeira,1,Papel social
cozinheira,1,Papel social
delírio,1,Emoção
colírio,1,Aparência
açucarada,1,Neutro
sublime,1,Emoção
cuidadosa,1,Emoção
bonequinha,1,Aparência
desamor,1,Emoção
roceira,1,Papel social
pequenininha,1,Aparência
campeira,1,Papel social
desleal,1,Caráter
barbada,1,Aparência
riograndense,1,Papel social
boêmia,1,Caráter
rapariga,1,Sexual
versátil,1,Caráter
apagada,1,Aparência
mestiça,1,Aparência
ansiosa,1,Emoção
amistosa,1,Emoção
gostosona,1,Aparência
pálida,1,Aparência
louraça,1,Aparência
presunçosa,1,Caráter
fazendeira,1,Papel social
calejada,1,Aparência
fujona,1,Caráter
noivinha,1,Papel social
africana,1,Papel social
contrariada,1,Emoção
birrenta,1,Caráter
certinha,1,Caráter
privilegiada,1,Caráter
conservada,1,Aparência
chavosa,1,Aparência
gatona,1,Aparência
trança,1,Aparência
promissora,1,Caráter
pontual,1,Caráter
didática,1,Caráter
feiosa,1,Aparência
elástica,1,Aparência
eleita,1,Emoção
esquelética,1,Aparência
ocupada,1,Emoção
crescidinha,1,Aparência
paranormal,1,Emoção
escrota,1,Caráter
britânica,1,Papel social
herdeira,1,Papel social
gringa,1,Papel social
trouxa,1,Emoção
confortável,1,Emoção
surtada,1,Emoção
exagerada,1,Emoção
periférica,1,Papel social
capricorniana,1,Papel social
escorpiana,1,Papel social
valiosa,1,Emoção
acuada,1,Emoção
sensível,1,Emoção
cegueira,1,Aparência
violentada,1,Emoção
cagueta,1,Caráter
imatura,1,Emoção
desempregada,1,Papel social
mexicana,1,Papel social
preocupada,1,Emoção
penetrante,1,Neutro
brabona,1,Emoção
engraviou,1,Sexual
distinta,1,Caráter
resplendente,1,Emoção
lésbica,1,Sexual
miscigenação,1,Papel social
ignorada,1,Emoção
leve,1,Neutro
distantes,1,Emoção
lesada,1,Emoção
torturada,1,Emoção
velhinha,1,Aparência
interrompida,1,Emoção
cachos,1,Aparência
dentista,1,Papel social
comadre,1,Papel social
rostinho,1,Aparência
concubinato,1,Sexual
urbana,1,Neutro
grilada,1,Emoção
comportada,1,Caráter
desfalecida,1,Emoção
responsável,1,Caráter
paulista,1,Papel social
molhadina,1,Sexual
competente,1,Caráter
despida,1,Aparência
piradinha,1,Caráter
conduzida,1,Neutro
biônica,1,Neutro
médica,1,Papel social
dragão,1,Neutro
facilitadora,1,Neutro
acusada,1,Neutro
inútil,1,Emoção
apressada,1,Emoção
dócil,1,Emoção
sonhadora,1,Caráter
adolescente,1,Papel social
afamada,1,Emoção
interesante,1,Caráter
suadinha,1,Aparência
barraqueira,1,Caráter
extrovertida,1,Emoção
falcão,1,Neutro
notada,1,Emoção
vítima,1,Emoção
idiota,1,Caráter
predadora,1,Caráter
lady,1,Papel social
ócio,1,Emoção
surpreendente,1,Emoção
xereca,1,Sexual
revoltada,1,Emoção
baronesa,1,Papel social
fuleira,1,Caráter
