 Adjetivo,Frequência,Categoria
batuqueiro,2,Papel social
truta,2,Papel social
atoa,2,Caráter
insistente,2,Caráter
sexagenário,2,Papel social
brilhante,2,Emoção
profundo,2,Papel social
docinho,2,Emoção
idosos,2,Papel social
chatinho,2,Caráter
excitante,2,Caráter
perseguido,2,Emoção
ramelão,2,Caráter
descendente,2,Papel social
invocado,2,Emoção
leal,2,Caráter
civilizado,2,Caráter
abusado,2,Caráter
consolador,2,Emoção
trapalhão,2,Caráter
paciente,2,Caráter
treinado,2,Caráter
misterioso,2,Caráter
maniaco,2,Caráter
americano,2,Papel social
mauricinho,2,Papel social
africano,2,Papel social
grosseiro,2,Caráter
servente,2,Papel social
marrento,2,Caráter
feroz,2,Caráter
grosso,2,Caráter
delinquente,2,Papel social
suficiente,2,Neutro
criminoso,2,Caráter
titular,2,Neutro
imortal,2,Neutro
empresário,2,Papel social
pegador,2,Sexual
simpático,2,Caráter
fodão,2,Caráter
gago,2,Aparência
advogado,2,Papel social
saliente,2,Aparência
insano,2,Caráter
bipolar,2,Emoção
avisado,2,Emoção
assassino,2,Caráter
irracional,2,Caráter
chateado,2,Emoção
insensível,2,Emoção
aposentado,2,Papel social
perplexos,2,Emoção
impertinente,2,Caráter
corrompido,2,Caráter
grandão,2,Aparência
capelão,2,Papel social
quentinho,2,Neutro
exemplar,2,Caráter
peludo,2,Aparência
mentiroso,2,Caráter
flamenguista,2,Papel social
gostosinho,2,Aparência
facção,2,Caráter
invejoso,2,Caráter
caboclinho,2,Papel social
desigual,2,Neutro
orientado,2,Caráter
depenado,2,Emoção
anormal,2,Neutro
fascinante,2,Caráter
cuzão,2,Caráter
motoqueiro,2,Papel social
infalíveis,2,Emoção
galante,2,Caráter
abatido,2,Emoção
príncipe,2,Papel social
conhecido,2,Caráter
fortão,2,Aparência
indignado,2,Emoção
condenado,2,Neutro
agonizante,2,Emoção
rostinho,2,Aparência
especializado,2,Neutro
deputado,2,Papel social
escuro,2,Aparência
adulto,2,Papel social
lindão,2,Aparência
caminhoneiro,2,Papel social
inalcansável,2,Emoção
brega,2,Aparência
merecedor,2,Caráter
bicha,2,Sexual
admirado,2,Emoção
interiorano,2,Papel social
sacana,2,Caráter
conveniente,2,Caráter
veloz,2,Aparência
besta,2,Emoção
desnorteado,2,Emoção
trapaceiro,2,Caráter
chocado,2,Emoção
autor,2,Papel social
traído,2,Caráter
judeu,2,Papel social
sereno,2,Emoção
cupido,2,Caráter
granfino,2,Papel social
estourado,2,Emoção
indescritível,2,Emoção
furioso,2,Emoção
radical,2,Caráter
fandango,2,Papel social
médico,2,Papel social
grandinho,2,Aparência
órfão,2,Papel social
sorteiro,1,Papel social
falido,1,Caráter
respeitável,1,Caráter
farto,1,Caráter
sonolento,1,Emoção
medíocre,1,Emoção
pirata,1,Papel social
desconfiado,1,Caráter
noiado,1,Caráter
pantaneiro,1,Papel social
difunto,1,Neutro
envolvido,1,Emoção
insuportável,1,Emoção
submisso,1,Emoção
incerto,1,Caráter
escroto,1,Caráter
fantastico,1,Emoção
patente,1,Papel social
combatente,1,Papel social
convocado,1,Papel social
necessário,1,Emoção
calculista,1,Caráter
viajante,1,Caráter
espantalho,1,Aparência
ex-ladrão,1,Papel social
guardião,1,Papel social
investidor,1,Papel social
hilário,1,Emoção
sobrinho,1,Papel social
louquinho,1,Emoção
manco,1,Aparência
lúcido,1,Caráter
determinado,1,Caráter
admirável,1,Caráter
humorista,1,Caráter
ouvinte,1,Caráter
glorificado,1,Emoção
chavão,1,Aparência
metido,1,Caráter
perverso,1,Caráter
leproso,1,Aparência
doentio,1,Caráter
inconstancia,1,Emoção
cumpadre,1,Papel social
bebinho,1,Aparência
picareta,1,Caráter
enfermo,1,Neutro
malandreco,1,Caráter
amaldiçoado,1,Emoção
carrapato,1,Neutro
metalúrgico,1,Papel social
decepcionado,1,Emoção
profano,1,Caráter
apaixonadinho,1,Emoção
inesquecível,1,Emoção
cheirosão,1,Aparência
